drug 	 gene 	 date 	 conc 	 dataNum 	 objNum 	numTxnSites 	 intensity 
Triptolide	MYC	141113	100nM	13	1	1	6996.000000
Triptolide	MYC	141113	100nM	13	2	1	5181.000000
Triptolide	MYC	141113	100nM	14	1	0	0.000000
Triptolide	MYC	141113	100nM	14	2	2	8786.000000
Triptolide	MYC	141113	100nM	14	2	2	2860.000000
Triptolide	MYC	141113	100nM	15	1	0	0.000000
Triptolide	MYC	141113	100nM	15	2	0	0.000000
Triptolide	MYC	141113	100nM	16	1	1	3580.000000
Triptolide	MYC	141113	100nM	16	2	1	1189.000000
Triptolide	MYC	141113	100nM	17	1	2	4683.000000
Triptolide	MYC	141113	100nM	17	1	2	5277.000000
Triptolide	MYC	141113	100nM	17	2	1	4842.000000
Triptolide	MYC	141113	100nM	18	1	1	5816.000000
Triptolide	MYC	141113	100nM	18	2	1	3643.000000
Triptolide	MYC	141113	100nM	19	1	2	5060.000000
Triptolide	MYC	141113	100nM	19	1	2	6708.000000
Triptolide	MYC	141113	100nM	19	2	2	2292.000000
Triptolide	MYC	141113	100nM	19	2	2	1745.000000
Triptolide	MYC	141113	100nM	20	1	3	1766.000000
Triptolide	MYC	141113	100nM	20	1	3	1720.000000
Triptolide	MYC	141113	100nM	20	1	3	1879.000000
Triptolide	MYC	141113	100nM	20	2	1	7167.000000
Triptolide	MYC	141113	100nM	21	1	1	2425.000000
Triptolide	MYC	141113	100nM	21	2	1	7170.000000
Triptolide	MYC	141113	100nM	21	3	0	0.000000
Triptolide	MYC	141113	100nM	21	4	1	2190.000000
Triptolide	MYC	141113	100nM	23	1	2	2410.000000
Triptolide	MYC	141113	100nM	23	1	2	2782.000000
Triptolide	MYC	141113	100nM	24	1	0	0.000000
Triptolide	MYC	141113	100nM	24	2	1	7856.000000
Triptolide	MYC	141113	100nM	24	3	0	0.000000
Triptolide	MYC	141113	100nM	25	1	0	0.000000
Triptolide	MYC	141113	100nM	25	2	1	2869.000000
Triptolide	MYC	141113	100nM	26	1	0	0.000000
Triptolide	MYC	141113	100nM	26	2	1	7817.000000
Triptolide	MYC	141113	Ctrl	1	1	2	4224.000000
Triptolide	MYC	141113	Ctrl	1	1	2	1482.000000
